Zcand_m,Zcand_recoil_m,Zcand_q
91.40657,127.587654,0
89.57509,130.45042,0
87.97002,128.56496,0
93.53731,129.45963,0
89.61154,128.53328,0
88.99333,128.00517,0
92.517334,125.99798,0
90.55725,138.62363,0
91.2081,126.71611,0
91.31164,126.30209,0
88.31875,134.02747,0
94.4252,125.86089,0
94.75472,120.15635,0
92.954025,129.1927,0
92.62984,125.98079,0
90.582466,127.40532,0
91.63584,126.281395,0
91.27208,130.9902,0
88.33693,132.86728,0
92.02311,125.07183,0
91.71467,130.49649,0
86.6667,131.27362,0
88.12081,129.76169,0
90.95785,127.01173,0
89.01377,128.92775,0
94.478226,112.303116,0
90.76431,127.23248,0
90.64499,125.91481,0
90.43198,109.67519,0
92.28609,125.65594,0
90.77563,111.25838,0
91.96598,125.10629,0
95.51568,123.44215,0
91.36266,126.165726,0
87.72191,127.8617,0
86.40199,131.35814,0
90.59089,127.56035,0
90.92086,132.71019,0
90.8651,108.52486,0
91.87481,109.04069,0
87.42637,134.54097,0
90.34068,138.44672,0
90.454025,127.57449,0
87.85261,111.58253,0
95.44424,122.78632,0
91.69824,109.46765,0
91.52639,124.35875,0
95.25557,124.22229,0
91.61576,126.83261,0
91.79319,125.1516,0
98.9349,120.95654,0
92.65788,133.11436,0
90.78586,128.88998,0
95.42109,123.955414,0
91.52276,126.69738,0
91.85699,125.97064,0
93.7239,137.22989,0
89.95032,131.00299,0
90.075485,127.212036,0
98.496414,116.31071,0
88.03729,143.27284,0
90.006134,132.92755,0
89.850555,119.028145,0
89.28875,132.80295,0
91.40074,120.78733,0
91.14452,146.95625,2
92.84139,126.19171,0
91.171104,140.28072,0
99.35192,120.576866,0
89.679596,128.7826,0
90.52642,128.00208,0
92.81938,125.50434,0
85.79552,131.05774,0
88.24839,130.27711,0
89.25017,128.04744,0
88.713264,127.99654,0
81.67149,140.07167,0
88.77142,130.20532,0
89.69021,128.58357,0
89.33913,128.8134,0
86.72074,136.26508,0
87.61384,130.21379,0
90.95876,128.66283,0
91.48258,142.45508,0
88.600525,133.24733,0
90.90416,129.88528,0
89.28926,128.95673,0
89.90259,129.47827,0
93.79991,134.26909,0
89.8936,145.95746,0
89.06337,129.68391,0
90.894424,126.92769,0
87.82975,134.84317,0
84.96887,141.28937,0
94.47661,124.10138,0
90.923096,129.70831,0
89.04582,128.16154,0
91.485825,134.94711,0
91.9798,126.93195,0
91.47134,131.39777,0
90.24217,127.72179,0
87.00885,129.81064,0
89.33735,132.63193,0
89.71905,128.4149,0
88.530235,128.75713,0
88.8066,113.6426,0
93.9014,134.87042,0
90.8102,138.46826,0
88.89705,128.35997,0
